"ori","des","N","dY","dX","oY","oX","Geom","no_flow"
"US","HO",36,14.816021,-86.614607,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -86.614607 14.816021)",FALSE
"US","ID",32,0.111431,113.317216,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 113.317216 0.111431)",FALSE
"US","IN",69,22.6238,79.327954,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 79.327954 22.6238)",FALSE
"US","IR",8,32.402698,54.357157,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 54.357157 32.402698)",FALSE
"US","IS",2,31.422503,34.654567,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 34.654567 31.422503)",FALSE
"US","JA",22,43.447342,143.336291,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 143.336291 43.447342)",FALSE
"US","JM",17,18.156681,-77.309724,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -77.309724 18.156681)",FALSE
"US","KE",52,0.551934,37.828368,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 37.828368 0.551934)",FALSE
"US","KG",1,41.448422,74.523552,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 74.523552 41.448422)",FALSE
"US","KN",1,40.108365,127.107414,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 127.107414 40.108365)",FALSE
"US","KZ",2,47.939522,67.088765,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 67.088765 47.939522)",FALSE
"US","LA",1,18.465456,103.751781,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 103.751781 18.465456)",FALSE
"US","LI",16,6.443182,-9.304667,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -9.304667 6.443182)",FALSE
"US","LT",2,-29.580459,28.247387,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 28.247387 -29.580459)",FALSE
"US","MA",45,-19.300316,46.679464,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 46.679464 -19.300316)",FALSE
"US","MB",1,14.65256,-61.017608,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -61.017608 14.65256)",FALSE
"US","MI",15,-13.197681,34.283053,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 34.283053 -13.197681)",FALSE
"US","MO",8,31.796525,-6.33335,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -6.33335 31.796525)",FALSE
"US","MX",679,23.759385,-102.026773,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -102.026773 23.759385)",FALSE
"US","MY",41,3.993543,102.062237,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 102.062237 3.993543)",FALSE
"US","MZ",8,-17.150674,35.55005,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 35.55005 -17.150674)",FALSE
"US","NC",15,-21.303731,165.689834,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 165.689834 -21.303731)",FALSE
"US","NG",1,17.375194,9.349884,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 9.349884 17.375194)",FALSE
"US","NH",2,-17.67375,168.364655,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 168.364655 -17.67375)",FALSE
"US","NI",12,9.574096,8.085675,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 8.085675 9.574096)",FALSE
"US","NU",3,12.839262,-85.031362,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -85.031362 12.839262)",FALSE
"US","NZ",17,-43.556725,171.176166,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 171.176166 -43.556725)",FALSE
"US","OW",1,17.897929,-62.827853,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -62.827853 17.897929)",FALSE
"US","PA",18,-23.204148,-58.4005,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -58.4005 -23.204148)",FALSE
"US","PE",87,-9.105875,-74.248066,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -74.248066 -9.105875)",FALSE
"US","PK",37,29.829453,69.165485,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 69.165485 29.829453)",FALSE
"US","PM",97,8.512146,-80.106346,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -80.106346 8.512146)",FALSE
"US","PO",6,39.558043,-8.54242,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -8.54242 39.558043)",FALSE
"US","PP",27,-6.468739,145.203186,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 145.203186 -6.468739)",FALSE
"US","PR",7,18.221865,-66.468,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -66.468 18.221865)",FALSE
"US","PS",4,7.529028,134.557224,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 134.557224 7.529028)",FALSE
"US","RP",116,7.68736,125.239651,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 125.239651 7.68736)",FALSE
"US","RS",25,60.036139,93.054322,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 93.054322 60.036139)",FALSE
"US","SA",7,23.969462,44.595759,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 44.595759 23.969462)",FALSE
"US","SC",1,17.315138,-62.74375,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -62.74375 17.315138)",FALSE
"US","SE",5,-9.377632,46.362844,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 46.362844 -9.377632)",FALSE
"US","SF",335,-28.897525,25.150852,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 25.150852 -28.897525)",FALSE
"US","SG",2,14.352458,-14.465336,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -14.465336 14.352458)",FALSE
"US","SL",5,8.554836,-11.78959,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -11.78959 8.554836)",FALSE
"US","SN",5,1.353457,103.81503,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 103.81503 1.353457)",FALSE
"US","SO",6,5.157084,46.805111,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 46.805111 5.157084)",FALSE
"US","SP",3,40.133542,-3.691117,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -3.691117 40.133542)",FALSE
"US","SU",29,15.978381,29.940731,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 29.940731 15.978381)",FALSE
"US","SY",1,35.005108,38.503815,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 38.503815 35.005108)",FALSE
"US","TD",7,10.473643,-61.258999,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -61.258999 10.473643)",FALSE
"US","TH",43,15.055519,100.901457,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 100.901457 15.055519)",FALSE
"US","TP",2,0.256729,6.616292,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 6.616292 0.256729)",FALSE
"US","TS",2,34.071384,9.578169,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 9.578169 34.071384)",FALSE
"US","TU",1,39.026955,35.170149,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 35.170149 39.026955)",FALSE
"US","TW",23,23.74721,120.946531,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 120.946531 23.74721)",FALSE
"US","TX",1,39.148054,59.226101,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 59.226101 39.148054)",FALSE
"US","TZ",25,-6.249894,34.793068,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 34.793068 -6.249894)",FALSE
"US","UC",2,12.19334,-68.971426,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -68.971426 12.19334)",FALSE
"US","UG",24,1.280036,32.385681,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 32.385681 1.280036)",FALSE
"US","US",3025,42.612364,-103.195474,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -103.195474 42.612364)",TRUE
"US","UY",1,-32.775836,-56.014293,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -56.014293 -32.775836)",FALSE
"US","UZ",7,41.689489,63.270029,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 63.270029 41.689489)",FALSE
"US","VC",17,13.200353,-61.200578,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -61.200578 13.200353)",FALSE
"US","VE",30,7.117922,-66.098265,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -66.098265 7.117922)",FALSE
"US","VI",1,18.718889,-64.319584,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -64.319584 18.718889)",FALSE
"US","VM",3,15.923516,107.872884,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 107.872884 15.923516)",FALSE
"US","VS",1,7.27823,30.314561,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 30.314561 7.27823)",FALSE
"US","WA",31,-22.049616,17.189693,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 17.189693 -22.049616)",FALSE
"US","WS",5,-13.62185,-172.439192,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, -172.439192 -13.62185)",FALSE
"US","YM",6,15.892821,47.557714,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 47.557714 15.892821)",FALSE
"US","ZA",6,-13.436427,27.805477,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 27.805477 -13.436427)",FALSE
"US","ZI",56,-18.982095,29.860474,42.612364,-103.195474,"LINESTRING (-103.195474 42.612364, 29.860474 -18.982095)",FALSE
"VE","VE",3,7.117922,-66.098265,7.117922,-66.098265,"LINESTRING (-66.098265 7.117922, -66.098265 7.117922)",TRUE
